                                                                  min                  max                   mean  missing_ratio
wsk_zob_dlugoterminowe_aktywa_rzeczowe                    -511.866371               1051.0               0.465434       0.000000
wsk_zob_oprocentowanych                                     -0.376711             0.996188               0.100856       0.000000
wsk_zob_oprocentowanych_aktywa_rzeczowe                     -0.376711             1.264848               0.102842       0.000000
wsk_struktura_kap_obcego_s                               -1465.923422           16163.8712               8.584226       0.000000
wsk_zob_s_aktywa_rzeczowe                                -1445.368078           13673.5174               6.959635       0.000000
wsk_fin_majatku_kapitalem                                     -2730.0           16206.9848              27.809254       0.000000
schemat_wsk_bilans_SFJIN                                        False                 True               0.523333       0.000000
schemat_wsk_bilans_SFJMA                                        False                 True               0.198889       0.000000
schemat_wsk_bilans_SFJMI                                        False                 True               0.277778       0.000000
schemat_wsk_rzis_SFJIN                                          False                 True               0.543889       0.000000
schemat_wsk_rzis_SFJMA                                          False                 True                   0.19       0.000000
wsk_zysk_ebitda_2                                          -22.480946            46.781218               0.562194       0.000000
wsk_zysk_ebitda_1                                          -22.480946            46.781218               0.570349       0.000000
wsk_udzial_kap_obrotowego_w_fin                           -2899.27173          417793.7178             407.457957       0.000000
wsk_udzial_zapasy_kap_obrotowy                             -21.609696             290.7019               0.630697       0.000000
wsk_rotacja_wartosci_niewaterialnych                        -524.7289       22214624.73913            33237.10903       0.000000
wsk_rotacja_zapasow                                      -7016.920049        27427602.0928           50434.703305       0.000000
wsk_rotacja_naleznosci                                    -5484.00367        89726823.7684          179876.314742       0.000000
wsk_rotacja_naleznosci_dostaw_uslug                      -4758.103543         9231955.4755           18325.650466       0.000000
wsk_cykl_operacyjny                                     -12500.923719        91347452.0504          230311.018048       0.000000
wsk_poziom_kosztow_operacyjnych                            -30.737123              93900.0             182.068627       0.000000
wsk_poziom_kosztow_finansowych                              -0.021103           61054.7589              61.856353       0.000000
wsk_obrotowsci_naleznosci                                   -0.722869           166338.365             382.983834       0.000000
wsk_rotacja_zobowiazan                                   -5630.693417        83202247.7832          147532.304716       0.000000
wsk_rotacja_zobowiazan_dostaw_uslug                      -1873.234097         6179585.9944           18697.319415       0.000000
wsk_cykl_konwersji_gotowki                              -18131.617136       111527480.5008          377843.322764       0.000000
wsk_plynnosc_biez_2                                               0.0          417793.7178            1679.229414       0.000000
wsk_plynnosc_biez_3                                               0.0          417793.7178            1678.196063       0.000000
wsk_plynnosc_szybka_1                                       -298.9564          417793.7178            1419.267539       0.000000
wsk_plynnosc_szybka_2                                             0.0          417793.7178            1803.957502       0.000000
wsk_plynnosc_gotowkowa_1                                          0.0              50000.0             124.728088       0.000000
wsk_poziom_kapitalu_obrotowego_netto                    -159297088.61          74932669.25          594441.829133       0.000000
wsk_udzial_kapitalu_obrotowego_netto                          -3.8573           11915.1108               10.56528       0.000000
wsk_udzial_zob_biez_sprzedaz_1                             -15.468938          228577.6038             404.901515       0.000000
wsk_udzial_zob_biez_sprzedaz_2                             -9299414.5           94422.4193            -5992.19392       0.000000
wsk_udzial_zob_biez_aktywa_1                                      0.0           15112.8712              10.925975       0.000000
wsk_udzial_zob_biez_aktywa_2                                     -1.0           12622.5174               9.242743       0.000000
wsk_udzial_zapasy_zobowiazania                                    0.0          142799.7378             258.606183       0.000000
wsk_zysk_zobowiazania                                         -7650.0            4610.6929              10.122767       0.000000
wsk_ebitda_aktywa_1                                          -23.0239            5371.2003               3.795865       0.000000
wsk_ebitda_aktywa_3                                       -119.484437           51644.6973              32.508868       0.000000
Inne_zobowiazania_fin_dlugoterminowe                       -445824.79            8612175.0           15550.096217       0.000000
Zysk_netto                                               -51527363.02          18305638.79          133617.430144       0.000000
Zobowiazania_rezerwy                                          -171.03         382072428.63         2984579.494822       0.000000
Rezerwy_na_zobowiazania                                           0.0          25394371.99            63913.91195       0.000000
Rezerwa_z_tytulu_odroczonego_podatku_dochodowego                  0.0          25394371.99           21619.396861       0.000000
Rezerwa_na_swiadczenia_emerytalne                                 0.0            1842799.0            7499.299156       0.000000
Rezerwa_na_swiadczenia_emerytalne_dlugie                          0.0           1114437.59            4011.654339       0.000000
Rezerwa_na_swiadczenia_emerytalne_krotkie                         0.0            728361.41             3190.67195       0.000000
Pozostale_rezerwy                                                 0.0           2848978.92            3591.048067       0.000000
Pozostale_rezerwy_krotkie                                         0.0          23762487.92           24601.849494       0.000000
Zobowiazania_dlugoterminowe                                       0.0         213382788.19         1197137.659844       0.000000
Kredyty_pozyczki_dlugie                                           0.0         175865048.24          856927.227539       0.000000
Zobowiazania_krotkoterminowe                                      0.0         200351817.08         1176933.290728       0.000000
Inne_rozliczenia_miedzyokresowe_krotkie                     -18270.33         151650529.51          125162.924894       0.000000
Zobowiazania_dostaw_uslug_12m_powiazane                           0.0           8274844.75           31511.700917       0.000000
Zobowiazania_dostaw_uslug_pow12m_powiazane                        0.0           3849819.54            2359.078994       0.000000
Zobowiazania_dostaw_uslug_12m_kapitale                            0.0           4083852.75            3748.938167       0.000000
Zobowiazania_dostaw_uslug_pow12m_kapitale                         0.0                  0.0                    0.0       0.000000
Kredyty_pozyczki_krotkie                                          0.0         187180405.47          455995.183778       0.000000
Inne_zobowiazania_fin_krotkoterminowe                          -19.99           2959639.58             10444.9686       0.000000
